phase,flux,flux_err,symmetric,tail,multistart_symmetric
-0.46694445837208587,0.9976522314316403,0.0003132162636581882,1.0,1.0,1.0
-0.46680164607874985,0.9989246620571909,0.00030537945742017795,1.0,1.0,1.0
-0.4665982845688461,0.9975885030025203,0.00031910232199458706,1.0,1.0,1.0
-0.4663082452852052,0.9973758216878521,0.0003196420771035808,1.0,1.0,1.0
-0.46624723006362956,0.9976731150590996,0.00031446464723354375,1.0,1.0,1.0
-0.46622662277505356,0.9979117875690837,0.0003052911163441758,1.0,1.0,1.0
-0.4659825976117986,0.9985401621075337,0.00030512394608958306,1.0,1.0,1.0
-0.4657773623427772,0.9976493259450779,0.0003207917049180722,1.0,1.0,1.0
-0.4657665465392,0.9972320524092608,0.0003191789796273016,1.0,1.0,1.0
-0.46575612945332523,0.9977698138179134,0.00031791644872608766,1.0,1.0,1.0
-0.46573475070039194,0.9992248540465377,0.00030489401674501965,1.0,1.0,1.0
-0.4655861335026401,0.9977366290304291,0.0003183059298330091,1.0,1.0,1.0
-0.4655610242892223,0.9972865099255598,0.0003137708166992164,1.0,1.0,1.0
-0.46545432632228767,0.999134956731453,0.00030483424214568027,1.0,1.0,1.0
-0.46532875087655157,0.9974441057094494,0.00030537365777001636,1.0,1.0,1.0
-0.4651254055303866,0.9995123628559567,0.00030517424513785214,1.0,1.0,1.0
-0.4649692756934485,0.9975663936149151,0.000305490781608311,1.0,1.0,1.0
-0.46491156247710386,0.9979977712324914,0.0003133277754440445,1.0,1.0,1.0
-0.4646695759137742,0.9977894199616284,0.000305386852582044,1.0,1.0,1.0
-0.4646636236186481,0.9977826030092024,0.00031913323633990054,1.0,1.0,1.0
-0.46464450480911523,0.9980006453169064,0.00031795558004409416,1.0,1.0,1.0
-0.46441013858333235,0.997563196122776,0.00030506610759126765,1.0,1.0,1.0
-0.4642331362092733,0.9976835559141009,0.00031418123716781834,1.0,1.0,1.0
-0.4641672755194861,0.9985823307171581,0.00030505513482354007,1.0,1.0,1.0
-0.46391585862136253,0.9988425132197389,0.0003048716508566879,1.0,1.0,1.0
-0.46385289276470587,0.9977215369261229,0.00031920251465313243,1.0,1.0,1.0
-0.4637700452203575,0.9981075242281703,0.0003177034508071083,1.0,1.0,1.0
-0.4636347773666074,0.9975623319492833,0.00031941823652283704,1.0,1.0,1.0
-0.463627427041331,0.9986228853980702,0.00030484552459022915,1.0,1.0,1.0
-0.4635371957445855,0.9980181526641122,0.00031417874176792944,1.0,1.0,1.0
-0.4634866375621982,0.9979405945923087,0.00030552538062338206,1.0,1.0,1.0
-0.4632857795464247,0.9989585851262717,0.0003050707977950608,1.0,1.0,1.0
-0.4631518071512062,0.9975910993102012,0.00031933646631138396,1.0,1.0,1.0
-0.46313905735007665,0.9977430354483435,0.0003055349168778696,1.0,1.0,1.0
-0.46295874107646995,0.9980819341017378,0.0003167783284542047,1.0,1.0,1.0
-0.4628801072364972,0.9980071073546998,0.0003131307272420051,1.0,1.0,1.0
-0.4627338387162183,0.9978369535039697,0.0003190224335080741,1.0,1.0,1.0
-0.46267719584331246,0.9979410577608716,0.00031806749587099385,1.0,1.0,1.0
-0.4625942520297883,0.9985037727498339,0.000305260058098962,1.0,1.0,1.0
-0.46255768389556806,0.9982799620094036,0.00031950382079790946,1.0,1.0,1.0
-0.4623516731680297,0.998878340320325,0.00030489871192958777,1.0,1.0,1.0
-0.4622217053817792,0.9979765377922931,0.00031497887412641464,1.0,1.0,1.0
-0.4617983538963131,0.999147878236628,0.0003049692402071014,1.0,1.0,1.0
-0.46168723514327326,0.9978314671228631,0.00031931380294439424,1.0,1.0,1.0
-0.46164621888203783,0.9979553796200257,0.0003055114958798539,1.0,1.0,1.0
-0.4615155740997672,0.9979330849710004,0.000313911915853778,1.0,1.0,1.0
-0.4614433358948986,0.9995812398098953,0.0003051387978481227,1.0,1.0,1.0
-0.46131100024538796,0.9979433845755097,0.0003055112799505147,1.0,1.0,1.0
-0.4609622049672595,0.9978656025405787,0.0003177714763723287,1.0,1.0,1.0
-0.4608503542033091,0.9984507373818766,0.0003134698690442552,1.0,1.0,1.0
-0.4608069982393488,0.9980350722121674,0.00031919468471320467,1.0,1.0,1.0
-0.460778524392623,0.9993310154693367,0.00030514211077962706,1.0,1.0,1.0
-0.46071353169890017,0.9980237622499368,0.0003181345951249727,1.0,1.0,1.0
-0.4606878242876462,0.9983800801463222,0.00032086561215219947,1.0,1.0,1.0
-0.4605354841197027,0.9984908318145335,0.0003049431060203527,1.0,1.0,1.0
-0.4602705075259905,0.9993637007966519,0.0003041929715685893,1.0,1.0,1.0
-0.4602166472485969,0.9977810544028037,0.0003124390316981204,1.0,1.0,1.0
-0.46021043809409434,0.9987090476676784,0.0003208242341343429,1.0,1.0,1.0
-0.46003714457555134,0.9980531580051207,0.000319188384519065,1.0,1.0,1.0
-0.4599670904802906,0.9996510765079921,0.0003051292032684582,1.0,1.0,1.0
-0.45980878411234016,0.9985187391029383,0.00031510238646296037,1.0,1.0,1.0
-0.45980835431976175,0.9980280057512472,0.0003055372763156884,1.0,1.0,1.0
-0.4597438127459412,0.9979870313682626,0.00031919269064108495,1.0,1.0,1.0
-0.45959794039589497,0.9998852756429976,0.00030494913127560345,1.0,1.0,1.0
-0.45949599252230655,0.998606825768886,0.0003144477570956953,1.0,1.0,1.0
-0.45948469391350955,0.9984120638866454,0.00030558077202018255,1.0,1.0,1.0
-0.4593767915754938,0.9974448629508991,0.00031970567700948427,1.0,1.0,1.0
-0.4592104494760463,0.9989855053195742,0.00030545879683387627,1.0,1.0,1.0
-0.4589687602603405,0.9983337795771952,0.000318235132326444,1.0,1.0,1.0
-0.45896334662492677,0.9985529917489655,0.00030525907522556997,1.0,1.0,1.0
-0.45888407751859006,0.9984884646209701,0.0003192006412176427,1.0,1.0,1.0
-0.4588221465485738,0.9983234203675224,0.0003137603744198084,1.0,1.0,1.0
-0.45882098428276663,0.9987514364375476,0.00032090525593862367,1.0,1.0,1.0
-0.45875341992420715,0.9989018218326834,0.00031836222378227183,1.0,1.0,1.0
